                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.95347,                0.49352,                0.98129,                 0.9356,                0.95856,                0.96651,                0.56783,                 1.4545,                0.60385,                 1.2584,               0.004951,               0.004951,               0.004951
                     53,                0.92699,                0.46709,                0.98955,                0.94207,                0.96036,                0.97172,                0.58267,                 1.4053,                0.59127,                 1.2366,               0.004852,               0.004852,               0.004852
                     54,                0.90501,                0.47375,                0.97041,                0.93163,                0.94595,                0.96578,                0.57122,                 1.4378,                0.61047,                 1.2407,               0.004753,               0.004753,               0.004753
                     55,                0.94231,                0.47781,                0.95009,                0.94735,                0.94595,                0.97078,                0.56985,                 1.4572,                0.61528,                 1.2556,               0.004654,               0.004654,               0.004654
                     56,                0.91043,                0.46735,                0.95109,                0.94762,                0.94524,                0.96457,                0.57466,                 1.4279,                0.61391,                 1.2349,               0.004555,               0.004555,               0.004555
                     57,                 0.9227,                0.47467,                0.95219,                0.94917,                0.94775,                0.96111,                0.57668,                  1.397,                0.59571,                 1.2192,               0.004456,               0.004456,               0.004456
                     58,                0.88539,                0.47125,                0.95426,                0.94616,                0.94991,                0.96531,                0.57394,                 1.3999,                0.60441,                 1.2277,               0.004357,               0.004357,               0.004357
                     59,                0.92837,                0.47298,                0.98027,                0.94084,                0.95315,                0.96784,                0.57419,                 1.4127,                0.59707,                 1.2159,               0.004258,               0.004258,               0.004258
                     60,                0.91793,                0.47356,                0.96944,                0.94159,                0.95845,                 0.9709,                0.57317,                 1.4237,                0.58973,                 1.2218,               0.004159,               0.004159,               0.004159
                     61,                 0.8563,                0.44567,                 0.9308,                0.94078,                0.94595,                0.96455,                0.56417,                 1.4661,                0.60667,                 1.2417,                0.00406,                0.00406,                0.00406
                     62,                0.82617,                0.42712,                0.94169,                 0.9526,                0.94157,                0.97127,                0.57644,                 1.4148,                0.60723,                 1.2184,               0.003961,               0.003961,               0.003961
                     63,                0.85568,                0.44452,                0.93937,                0.95034,                0.93874,                0.97221,                0.56871,                 1.4694,                0.61953,                 1.2454,               0.003862,               0.003862,               0.003862
                     64,                0.85241,                0.44033,                0.94126,                 0.9413,                0.95352,                0.96869,                0.57306,                  1.432,                0.60263,                 1.2412,               0.003763,               0.003763,               0.003763
                     65,                  0.848,                0.44347,                0.95255,                0.94558,                0.94775,                0.97087,                0.58694,                 1.3839,                 0.5652,                 1.2233,               0.003664,               0.003664,               0.003664
                     66,                0.86533,                 0.4325,                0.95997,                0.95399,                0.94595,                0.97116,                0.58422,                   1.38,                0.55567,                  1.219,               0.003565,               0.003565,               0.003565
                     67,                0.85756,                0.43282,                0.94273,                0.94307,                0.95504,                0.97105,                0.58145,                  1.398,                0.57209,                 1.2267,               0.003466,               0.003466,               0.003466
                     68,                0.83256,                0.42902,                0.94156,                0.94299,                0.95367,                0.97285,                0.58819,                 1.3941,                0.57663,                  1.234,               0.003367,               0.003367,               0.003367
                     69,                0.81493,                0.41618,                0.93572,                0.94277,                0.95856,                0.97318,                0.58005,                 1.4215,                0.57637,                 1.2511,               0.003268,               0.003268,               0.003268
                     70,                0.81251,                0.42286,                0.94952,                0.93015,                0.95968,                0.97221,                0.58588,                 1.3986,                0.56779,                 1.2385,               0.003169,               0.003169,               0.003169
                     71,                0.81752,                0.42784,                 0.9399,                 0.9258,                0.96668,                0.97321,                0.57625,                 1.4299,                 0.5809,                 1.2569,                0.00307,                0.00307,                0.00307
                     72,                0.82972,                 0.4201,                0.93802,                0.94121,                0.95193,                0.97312,                0.58368,                 1.4136,                0.56473,                   1.25,               0.002971,               0.002971,               0.002971
                     73,                0.80029,                0.41774,                 0.9335,                 0.9285,                0.96577,                0.97328,                0.58132,                 1.4109,                0.56281,                 1.2415,               0.002872,               0.002872,               0.002872
                     74,                0.80994,                0.41484,                0.93025,                0.94147,                0.95645,                0.97405,                0.58345,                 1.4103,                0.56944,                 1.2473,               0.002773,               0.002773,               0.002773
                     75,                0.79964,                0.41731,                0.92772,                0.94288,                0.95173,                0.97254,                0.58358,                 1.4204,                0.57698,                 1.2512,               0.002674,               0.002674,               0.002674
                     76,                0.76772,                  0.399,                0.93084,                0.94299,                0.95363,                0.97276,                0.57894,                 1.4318,                0.57436,                 1.2533,               0.002575,               0.002575,               0.002575
                     77,                 0.7813,                 0.3975,                0.93299,                0.93962,                0.95326,                0.96921,                0.58369,                 1.4033,                0.56955,                 1.2424,               0.002476,               0.002476,               0.002476
                     78,                0.82281,                0.42237,                0.92394,                0.94482,                0.95676,                0.96864,                0.58033,                 1.4541,                0.57764,                 1.2695,               0.002377,               0.002377,               0.002377
                     79,                0.75393,                 0.4022,                0.92469,                0.95331,                0.95653,                0.96975,                0.58112,                 1.4388,                0.56786,                 1.2594,               0.002278,               0.002278,               0.002278
                     80,                0.76397,                0.40222,                0.90461,                0.95165,                0.95495,                0.97293,                0.58718,                  1.422,                0.56578,                 1.2559,               0.002179,               0.002179,               0.002179
                     81,                0.77939,                0.40862,                0.92954,                0.94318,                0.95701,                0.97186,                  0.589,                 1.4061,                0.56416,                 1.2514,                0.00208,                0.00208,                0.00208
                     82,                0.74323,                0.39583,                0.91744,                0.95119,                0.94795,                 0.9742,                0.58769,                 1.4281,                0.56069,                 1.2609,               0.001981,               0.001981,               0.001981
                     83,                0.74106,                0.38677,                0.92281,                0.94888,                0.95676,                0.97235,                0.59183,                 1.4014,                0.56512,                 1.2474,               0.001882,               0.001882,               0.001882
                     84,                0.75138,                0.39594,                0.92626,                0.94539,                0.95495,                 0.9714,                0.59463,                 1.4084,                0.56043,                 1.2559,               0.001783,               0.001783,               0.001783
                     85,                 0.7254,                  0.383,                 0.9142,                0.95104,                0.95856,                 0.9708,                0.58343,                 1.4353,                 0.5644,                  1.272,               0.001684,               0.001684,               0.001684
                     86,                0.76854,                 0.3937,                0.92253,                0.94887,                0.95495,                0.97221,                0.58648,                 1.4243,                0.55566,                 1.2665,               0.001585,               0.001585,               0.001585
                     87,                0.74379,                0.38063,                0.92414,                0.94605,                0.96216,                0.97147,                0.59471,                  1.417,                0.55782,                 1.2589,               0.001486,               0.001486,               0.001486
                     88,                0.71979,                0.37983,                0.90201,                0.94762,                0.95495,                0.96823,                0.59107,                 1.4195,                0.56016,                  1.254,               0.001387,               0.001387,               0.001387
                     89,                0.74667,                0.37874,                0.92135,                0.94123,                0.95225,                0.96747,                 0.5907,                 1.4251,                0.56259,                 1.2574,               0.001288,               0.001288,               0.001288
                     90,                0.74862,                0.38509,                0.92337,                 0.9496,                0.95046,                0.96733,                0.58637,                 1.4353,                0.56339,                  1.263,               0.001189,               0.001189,               0.001189
                     91,                0.69772,                0.36748,                0.91463,                0.95416,                0.95315,                0.97006,                0.59201,                 1.4264,                0.56453,                 1.2571,                0.00109,                0.00109,                0.00109
                     92,                 0.7375,                0.38553,                0.91257,                0.95665,                 0.9542,                0.97167,                0.59032,                 1.4262,                0.56423,                 1.2555,               0.000991,               0.000991,               0.000991
                     93,                0.70407,                0.37022,                0.90704,                0.95295,                0.94875,                0.96935,                0.59043,                 1.4295,                 0.5666,                 1.2569,               0.000892,               0.000892,               0.000892
                     94,                0.72375,                 0.3723,                0.90683,                0.96342,                0.94903,                0.96989,                0.58815,                 1.4292,                0.56831,                  1.257,               0.000793,               0.000793,               0.000793
                     95,                0.72219,                0.39211,                0.90259,                0.96185,                0.94775,                0.96964,                0.58963,                 1.4318,                0.56612,                 1.2597,               0.000694,               0.000694,               0.000694
                     96,                0.69598,                0.36123,                0.89229,                0.96164,                0.94858,                0.97071,                0.59253,                 1.4234,                0.56611,                 1.2553,               0.000595,               0.000595,               0.000595
                     97,                0.71221,                0.37231,                0.91858,                0.96166,                0.94919,                0.96856,                0.59055,                 1.4259,                0.56675,                 1.2553,               0.000496,               0.000496,               0.000496
                     98,                0.69897,                0.36641,                0.90349,                0.96172,                0.95063,                0.96789,                0.58956,                 1.4323,                0.56424,                 1.2585,               0.000397,               0.000397,               0.000397
                     99,                0.69887,                0.36706,                0.89823,                0.95691,                0.95315,                0.96751,                0.58652,                 1.4337,                0.56305,                 1.2583,               0.000298,               0.000298,               0.000298
