                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.77302,                0.41999,                0.92343,                0.90416,                0.87633,                0.90907,                0.67308,                 1.0002,                0.50015,                 1.0297,               0.004753,               0.004753,               0.004753
                     55,                 0.7624,                0.41707,                0.91978,                0.92626,                0.86551,                0.91177,                0.67875,                0.99286,                0.49041,                 1.0267,               0.004654,               0.004654,               0.004654
                     56,                0.76068,                0.41779,                0.91871,                0.89854,                0.88608,                0.91079,                0.67887,                0.99236,                0.49424,                 1.0269,               0.004555,               0.004555,               0.004555
                     57,                0.74488,                0.41317,                0.91483,                0.88469,                0.87931,                0.90833,                0.67313,                0.98965,                0.49954,                 1.0283,               0.004456,               0.004456,               0.004456
                     58,                0.74767,                0.40772,                0.91655,                0.90459,                0.86684,                0.90982,                0.67169,                0.98904,                0.50027,                 1.0315,               0.004357,               0.004357,               0.004357
                     59,                0.73426,                0.40322,                0.91075,                0.92611,                0.86288,                0.91187,                0.67357,                0.98781,                 0.5012,                 1.0306,               0.004258,               0.004258,               0.004258
                     60,                0.73354,                0.39876,                0.91237,                0.94003,                0.86749,                0.91669,                0.67899,                0.98279,                0.49312,                 1.0292,               0.004159,               0.004159,               0.004159
                     61,                0.72612,                0.39834,                0.90778,                0.95205,                0.86109,                0.91469,                0.68116,                 0.9773,                 0.4965,                 1.0233,                0.00406,                0.00406,                0.00406
                     62,                0.71825,                0.39648,                0.90713,                0.89587,                0.88444,                0.91492,                0.68082,                0.97083,                 0.4892,                 1.0238,               0.003961,               0.003961,               0.003961
                     63,                0.71296,                0.39264,                0.90582,                0.91464,                0.87134,                0.91599,                0.68224,                 0.9634,                0.49055,                 1.0164,               0.003862,               0.003862,               0.003862
                     64,                0.70351,                0.38721,                0.90333,                0.92859,                 0.8648,                0.91572,                0.68484,                0.96173,                 0.4901,                 1.0161,               0.003763,               0.003763,               0.003763
                     65,                0.69925,                0.38683,                0.90111,                0.92848,                0.87259,                0.92001,                0.68809,                0.96054,                0.49094,                 1.0171,               0.003664,               0.003664,               0.003664
                     66,                0.69131,                0.37831,                0.89818,                0.92345,                0.88326,                0.92059,                0.68644,                0.96005,                0.48762,                 1.0189,               0.003565,               0.003565,               0.003565
                     67,                0.68721,                0.37468,                0.89863,                0.95066,                0.86408,                0.92097,                0.68774,                0.96021,                0.49147,                 1.0204,               0.003466,               0.003466,               0.003466
                     68,                0.67458,                0.37267,                0.89587,                0.91051,                 0.8823,                 0.9215,                 0.6917,                0.95845,                0.48884,                  1.022,               0.003367,               0.003367,               0.003367
                     69,                0.67068,                0.36612,                0.89345,                0.95478,                0.85623,                0.92038,                0.69362,                0.95304,                0.48825,                   1.02,               0.003268,               0.003268,               0.003268
                     70,                0.67095,                0.36572,                0.89224,                0.95463,                0.86099,                0.91949,                0.69527,                0.95034,                0.48424,                 1.0187,               0.003169,               0.003169,               0.003169
                     71,                0.66373,                0.36536,                0.89176,                0.89448,                0.89335,                0.91821,                0.69409,                0.94746,                0.48071,                 1.0179,                0.00307,                0.00307,                0.00307
                     72,                0.65641,                0.36028,                0.88508,                0.92424,                 0.8672,                0.91782,                0.69398,                0.94498,                0.47913,                 1.0163,               0.002971,               0.002971,               0.002971
                     73,                 0.6476,                0.35659,                0.88498,                0.93066,                0.85828,                0.91839,                0.69197,                0.94409,                0.48163,                 1.0155,               0.002872,               0.002872,               0.002872
                     74,                0.64246,                0.35403,                0.88283,                0.93105,                0.86309,                0.91791,                0.69169,                0.94228,                0.48439,                 1.0153,               0.002773,               0.002773,               0.002773
                     75,                0.63108,                0.34688,                0.88215,                0.94226,                0.86068,                0.91651,                0.69098,                0.94189,                0.48617,                 1.0152,               0.002674,               0.002674,               0.002674
                     76,                0.63034,                0.34775,                0.88126,                0.94137,                0.86223,                0.91603,                0.68982,                0.94149,                0.48651,                  1.016,               0.002575,               0.002575,               0.002575
